STATION,STATION_NAME,DATE,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT06,WT05,WT11,WT04,WT03
GHCND:USC00420072,ALTA UT US,19660101,-9999,-9999,-9999,-9999,0.86,75.0,11.0,6,2,2,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660102,-9999,-9999,-9999,-9999,0.22,66.0,3.0,12,-8,10,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660103,-9999,-9999,-9999,-9999,0.00,66.0,0.0,23,10,20,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660104,-9999,-9999,-9999,-9999,0.00,66.0,0.0,28,13,26,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660105,-9999,-9999,-9999,-9999,0.00,62.0,0.0,34,14,32,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660106,-9999,-9999,-9999,-9999,0.00,61.0,0.0,35,23,32,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660107,-9999,-9999,-9999,-9999,0.00,60.0,0.0,48,28,35,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660108,-9999,-9999,-9999,-9999,0.00,59.0,0.0,44,32,36,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660109,-9999,-9999,-9999,-9999,0.00,57.0,0.0,36,19,20,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660110,-9999,-9999,-9999,-9999,0.00,56.0,0.0,43,19,37,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660111,-9999,-9999,-9999,-9999,0.03,56.0,1.0,37,17,17,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660112,-9999,-9999,-9999,-9999,0.94,68.0,11.0,22,7,18,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660113,-9999,-9999,-9999,-9999,0.07,67.0,3.0,25,8,22,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660114,-9999,-9999,-9999,-9999,0.00,65.0,0.0,25,16,18,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660115,-9999,-9999,-9999,-9999,1.33,75.0,13.0,21,13,17,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660116,-9999,-9999,-9999,-9999,1.27,73.0,3.0,26,5,18,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660117,-9999,-9999,-9999,-9999,0.00,71.0,0.0,31,5,26,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660118,-9999,-9999,-9999,-9999,0.00,70.0,0.0,36,13,25,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660119,-9999,-9999,-9999,-9999,0.00,69.0,0.0,25,6,10,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660120,-9999,-9999,-9999,-9999,0.12,69.0,3.0,10,-5,-1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660121,-9999,-9999,-9999,-9999,0.00,68.0,0.0,20,-7,11,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660122,-9999,-9999,-9999,-9999,0.00,66.0,0.0,19,1,16,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660123,-9999,-9999,-9999,-9999,0.09,68.0,3.5,16,3,7,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660124,-9999,-9999,-9999,-9999,0.17,72.0,5.0,10,-2,8,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660125,-9999,-9999,-9999,-9999,0.89,79.0,12.0,19,-1,15,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660126,-9999,-9999,-9999,-9999,0.02,77.0,0.0,38,7,27,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660127,-9999,-9999,-9999,-9999,0.00,74.0,0.0,38,12,25,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660128,-9999,-9999,-9999,-9999,0.00,71.0,0.0,30,11,26,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660129,-9999,-9999,-9999,-9999,0.00,69.0,0.0,41,15,30,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660130,-9999,-9999,-9999,-9999,0.00,68.0,0.0,31,18,21,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660131,-9999,-9999,-9999,-9999,0.10,68.0,2.0,24,13,15,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660201,-9999,-9999,-9999,-9999,0.66,81.0,13.0,24,5,15,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660202,-9999,-9999,-9999,-9999,0.23,80.0,5.0,23,6,15,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660203,-9999,-9999,-9999,-9999,0.00,77.0,0.0,37,4,26,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660204,-9999,-9999,-9999,-9999,0.00,73.0,0.0,40,21,28,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660205,-9999,-9999,-9999,-9999,0.00,72.0,0.0,36,19,28,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660206,-9999,-9999,-9999,-9999,0.04,70.0,1.0,28,19,26,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660207,-9999,-9999,-9999,-9999,1.01,83.0,13.0,27,15,15,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660208,-9999,-9999,-9999,-9999,0.11,81.0,2.0,19,7,8,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660209,-9999,-9999,-9999,-9999,0.08,80.0,2.0,9,0,8,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660210,-9999,-9999,-9999,-9999,0.89,94.0,17.0,19,8,9,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660211,-9999,-9999,-9999,-9999,0.14,89.0,2.0,19,-2,13,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660212,-9999,-9999,-9999,-9999,0.00,85.0,0.0,20,7,7,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660213,-9999,-9999,-9999,-9999,0.56,89.0,7.0,8,-2,4,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660214,-9999,-9999,-9999,-9999,0.37,90.0,5.0,10,3,9,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660215,-9999,-9999,-9999,-9999,0.77,98.0,12.0,9,1,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660216,-9999,-9999,-9999,-9999,0.43,94.0,5.0,14,-5,13,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660217,-9999,-9999,-9999,-9999,0.23,97.0,6.0,21,12,20,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660218,-9999,-9999,-9999,-9999,0.12,93.0,1.0,32,14,28,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660219,-9999,-9999,-9999,-9999,0.00,90.0,0.0,32,18,28,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660220,-9999,-9999,-9999,-9999,0.04,89.0,2.0,28,14,20,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660221,-9999,-9999,-9999,-9999,0.15,88.0,2.0,30,11,25,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660222,-9999,-9999,-9999,-9999,0.00,86.0,0.0,36,12,18,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660223,-9999,-9999,-9999,-9999,0.00,84.0,0.0,41,14,30,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660224,-9999,-9999,-9999,-9999,0.00,83.0,0.0,30,11,26,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00420072,ALTA UT US,19660225,-9999,-9999,-9999,-9999,0.00,81.0,0.0,30,15,25,-9999,-9999,-9999,-9999,-9999,-9999
