Date,Region,Place,Trigger,Weak Layer,Depth,Width,Vertical,Aspect,Elevation,Coordinates,Caught,Carried,Buried - Partly,Buried - Fully,Injured,Killed
04/19/2016,Salt Lake,Gods Lawnmower,Unknown,,,,,North,Unknown,"40.633626449663, -111.665725752690",,,,,,
04/16/2016,Salt Lake,Little Superior,Skier,New Snow/Old Snow Interface,3',200,Unknown,Southeast,10500,,,,,,,
04/13/2016,Salt Lake,Broads Fork,Natural,,unknown,300,,East,Unknown,,,,,,,
04-12-16,Logan,Hells Canyon,Natural,Wet grains,3',300,1750,East,8500,"41.670076865712, -112.021064795790",,,,,,
04-09-16,Provo,Deer Creek,Skier,New Snow/Old Snow Interface,"5""",100,400,Southeast,8700,"40.505548605366, -111.677422379540",,,,,,
04-07-16,Salt Lake,Stairs Gulch,Natural,Ground Interface,5',150,1000,West,9500,,,,,,,
04-04-16,Logan,Wellsville Mountain Wilderness,Natural,New Snow/Old Snow Interface,unknown,80,1750,East,8500,"41.672342859542, -112.021064788610",,,,,,
04-03-16,Provo,Mary Ellen,Natural,New Snow,unknown,Unknown,350,East,10000,"40.536845804815, -111.639568900690",,,,,,
04-02-16,Provo,Cascade Cirque,Natural,,,,,Southeast,10500,,,,,,,
04-01-16,Salt Lake,Stairs Gulch,Unknown,,"4""",20,200,North,9500,,,,,,,
04-01-16,Salt Lake,Canyons side country,Skier,,,30,200,North,,"40.695828419002, -111.592545468380",,,,,,
04-01-16,Salt Lake,Monte Cristo,Unknown,New Snow,,,,South,10000,"40.588399656046, -111.669631063420",2,1,,,,
04-01-16,Salt Lake,Cottonwood Ridgeline,Natural,New Snow,,,1000,South,10500,,,,,,,
04-01-16,Provo,Miller Hill,Natural,New Snow/Old Snow Interface,unknown,45,200,Southwest,9700,"40.543286955210, -111.626415304570",,,,,,
04-01-16,Logan,Mitton Peak,Natural,New Snow/Old Snow Interface,unknown,70,1500,Southeast,8200,,,,,,,
03/31/2016,Ogden,Hells Canyon,,New Snow,,,1000,North,8300,"41.214840659290, -111.876238395230",,,,,,
03/31/2016,Logan,Lower Providence Canyon,,,,,,,,"41.686986783671, -111.736021072200",,,,,,
