STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS,WESD,AWND,WSFI
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990901,-9999,-9999,-9999,-9999,-9999,8.5,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990902,15.2,-9999,95,17.2,5.1,5.4,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990903,12.7,-9999,75,14.4,3.5,3.5,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990904,2.5,-9999,75,16.1,0.7,4.6,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990905,0.0,-9999,112,21.4,3.5,7.6,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990906,0.0,-9999,136,23.9,6.2,7.2,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990907,0.0,-9999,107,20.0,4.6,6.0,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990908,0.0,-9999,130,24.3,5.1,8.5,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990909,0.0,0.0,145,25.4,7.9,10.0,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990910,0.0,0.0,138,22.3,7.5,7.5,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990911,0.0,0.0,117,20.9,5.5,7.1,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990912,0.0,0.0,116,21.2,5.1,6.3,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990913,0.0,-9999,132,23.3,6.2,8.6,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990914,0.0,0.0,134,23.6,6.8,6.8,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990915,0.0,0.0,128,22.0,6.7,7.5,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990916,0.0,0.0,133,22.7,7.5,8.4,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990917,0.0,-9999,137,23.9,7.2,9.9,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990918,0.0,0.0,135,22.6,7.8,9.0,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990919,2.5,0.0,102,16.2,5.6,5.6,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990920,0.0,0.0,110,20.7,5.0,6.6,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990921,0.0,0.0,119,22.2,5.9,7.0,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990922,0.0,0.0,132,22.5,6.2,9.7,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990923,0.0,0.0,123,21.3,7.0,7.3,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990924,0.0,0.0,125,20.5,6.0,9.2,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990925,0.0,0.0,133,20.5,4.0,8.0,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990926,0.0,25.0,50,10.6,-1.2,-1.2,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990927,0.0,0.0,20,8.4,-3.4,-1.0,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990928,0.0,0.0,31,11.8,-3.6,0.1,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990929,0.0,0.0,64,17.5,-9999,3.6,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19990930,0.0,0.0,98,19.8,3.1,5.9,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991001,0.0,0.0,86,16.9,1.7,2.0,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991002,0.0,0.0,69,16.5,-0.1,2.2,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991003,0.0,0.0,72,17.1,0.5,3.3,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991004,0.0,0.0,104,21.0,2.6,7.9,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991005,0.0,0.0,120,22.2,5.7,5.7,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991006,0.0,0.0,95,18.2,4.4,4.8,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991007,0.0,0.0,47,11.8,0.4,1.7,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991008,0.0,0.0,75,17.3,1.8,5.7,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991009,0.0,0.0,107,21.2,4.5,7.3,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991010,0.0,0.0,123,23.7,6.3,7.2,0.0,-9999,-9999
GHCND:USS0011J69S,Louis Meadow UT US,2042.2,40.83,-111.76,19991011,0.0,0.0,127,23.2,6.1,8.3,0.0,-9999,-9999
