STATION,DATE,AWND,WSFI
GHCND:USS0011J69S,20060731,2.24,14.1
GHCND:USS0011J69S,20060801,1.79,13.0
GHCND:USS0011J69S,20060802,2.68,8.1
GHCND:USS0011J69S,20060803,2.46,15.9
GHCND:USS0011J69S,20060804,2.91,9.4
GHCND:USS0011J69S,20060805,2.68,8.7
GHCND:USS0011J69S,20060806,2.46,13.6
GHCND:USS0011J69S,20060807,2.68,13.9
GHCND:USS0011J69S,20060808,3.36,13.6
GHCND:USS0011J69S,20060809,3.36,11.2
GHCND:USS0011J69S,20060810,3.13,14.1
GHCND:USS0011J69S,20060811,2.91,11.2
GHCND:USS0011J69S,20060812,2.68,12.3
GHCND:USS0011J69S,20060813,2.46,8.9
GHCND:USS0011J69S,20060814,2.91,11.6
GHCND:USS0011J69S,20060816,3.36,16.6
GHCND:USS0011J69S,20060817,3.13,16.3
GHCND:USS0011J69S,20060818,2.68,9.6
GHCND:USS0011J69S,20060819,3.13,8.7
GHCND:USS0011J69S,20060820,2.91,9.4
GHCND:USS0011J69S,20060821,3.36,13.6
GHCND:USS0011J69S,20060822,3.13,11.4
GHCND:USS0011J69S,20060823,2.68,15.7
GHCND:USS0011J69S,20060824,2.91,14.1
GHCND:USS0011J69S,20060825,2.46,14.1
GHCND:USS0011J69S,20060826,2.46,19.7
GHCND:USS0011J69S,20060827,2.91,8.1
GHCND:USS0011J69S,20060828,2.91,10.3
GHCND:USS0011J69S,20060829,3.58,13.6
GHCND:USS0011J69S,20060830,3.36,13.9
GHCND:USS0011J69S,20060831,2.91,7.2
GHCND:USS0011J69S,20060901,2.91,10.1
GHCND:USS0011J69S,20060902,2.68,7.8
GHCND:USS0011J69S,20060903,3.13,9.8
GHCND:USS0011J69S,20060904,3.13,9.2
GHCND:USS0011J69S,20060905,2.91,9.6
GHCND:USS0011J69S,20060906,2.91,10.1
GHCND:USS0011J69S,20060907,2.01,9.2
GHCND:USS0011J69S,20060908,1.79,8.5
GHCND:USS0011J69S,20060909,2.91,13.0
GHCND:USS0011J69S,20060910,2.91,11.4
GHCND:USS0011J69S,20060911,3.13,11.4
GHCND:USS0011J69S,20060912,2.91,9.4
GHCND:USS0011J69S,20060913,3.13,11.2
GHCND:USS0011J69S,20060914,2.46,12.5
GHCND:USS0011J69S,20060915,1.79,19.7
GHCND:USS0011J69S,20060916,2.01,15.9
GHCND:USS0011J69S,20060917,1.12,6.5
GHCND:USS0011J69S,20060918,2.91,8.5
GHCND:USS0011J69S,20060919,3.36,16.8
GHCND:USS0011J69S,20060920,1.79,11.0
GHCND:USS0011J69S,20060921,1.57,11.6
GHCND:USS0011J69S,20060922,1.57,10.5
GHCND:USS0011J69S,20060923,2.01,6.7
GHCND:USS0011J69S,20060924,2.68,10.1
GHCND:USS0011J69S,20060925,2.91,9.2
GHCND:USS0011J69S,20060926,2.91,7.6
GHCND:USS0011J69S,20060927,2.91,9.4
GHCND:USS0011J69S,20060928,2.91,12.1
GHCND:USS0011J69S,20060929,2.91,9.4
GHCND:USS0011J69S,20060930,3.13,8.1
GHCND:USS0011J69S,20061001,2.91,11.4
GHCND:USS0011J69S,20061002,2.01,21.7
GHCND:USS0011J69S,20061003,2.24,8.7
GHCND:USS0011J69S,20061004,1.79,9.6
GHCND:USS0011J69S,20061005,1.57,13.4
GHCND:USS0011J69S,20061006,1.79,17.2
GHCND:USS0011J69S,20061007,1.34,10.7
GHCND:USS0011J69S,20061008,2.46,7.4
GHCND:USS0011J69S,20061009,2.46,9.4
GHCND:USS0011J69S,20061010,2.01,13.6
GHCND:USS0011J69S,20061011,2.01,8.1
GHCND:USS0011J69S,20061012,2.91,9.2
GHCND:USS0011J69S,20061013,2.91,6.9
GHCND:USS0011J69S,20061014,2.91,8.5
GHCND:USS0011J69S,20061015,2.68,7.6
GHCND:USS0011J69S,20061016,2.01,14.8
GHCND:USS0011J69S,20061017,0.67,8.9
GHCND:USS0011J69S,20061018,1.79,8.1
GHCND:USS0011J69S,20061019,1.57,6.7
GHCND:USS0011J69S,20061020,3.36,19.2
GHCND:USS0011J69S,20061021,1.79,8.9
GHCND:USS0011J69S,20061022,2.68,6.7
GHCND:USS0011J69S,20061023,3.13,7.8
GHCND:USS0011J69S,20061024,2.91,7.4
GHCND:USS0011J69S,20061025,3.80,17.0
GHCND:USS0011J69S,20061026,1.79,6.7
GHCND:USS0011J69S,20061027,2.68,6.9
